station_id,suburb,road_name,period,traffic_count,wgs84_latitude,wgs84_longitude,createdAt,updatedAt
117,Bulli,Princes Highway,ALL DAYS,13224,-34.320358,150.895767,0000-00-00 00:00:00,0000-00-00 00:00:00
118,Bulli,Princes Highway,AM PEAK,3363,-34.320358,150.895767,0000-00-00 00:00:00,0000-00-00 00:00:00
119,Bulli,Princes Highway,OFF PEAK,6380,-34.320358,150.895767,0000-00-00 00:00:00,0000-00-00 00:00:00
120,Bulli,Princes Highway,PM PEAK,3912,-34.320358,150.895767,0000-00-00 00:00:00,0000-00-00 00:00:00
121,Stony Creek,Princes Highway,ALL DAYS,3468,-36.627476,149.843384,0000-00-00 00:00:00,0000-00-00 00:00:00
122,Stony Creek,Princes Highway,AM PEAK,929,-36.627476,149.843384,0000-00-00 00:00:00,0000-00-00 00:00:00
123,Stony Creek,Princes Highway,OFF PEAK,1773,-36.627476,149.843384,0000-00-00 00:00:00,0000-00-00 00:00:00
124,Stony Creek,Princes Highway,PM PEAK,1034,-36.627476,149.843384,0000-00-00 00:00:00,0000-00-00 00:00:00
125,Stony Creek,Snowy Mountains Highway,ALL DAYS,1787,-36.631699,149.814713,0000-00-00 00:00:00,0000-00-00 00:00:00
126,Stony Creek,Snowy Mountains Highway,AM PEAK,428,-36.631699,149.814713,0000-00-00 00:00:00,0000-00-00 00:00:00
127,Stony Creek,Snowy Mountains Highway,OFF PEAK,867,-36.631699,149.814713,0000-00-00 00:00:00,0000-00-00 00:00:00
128,Stony Creek,Snowy Mountains Highway,PM PEAK,510,-36.631699,149.814713,0000-00-00 00:00:00,0000-00-00 00:00:00
129,North Batemans Bay,Princes Highway,ALL DAYS,8733,-35.699673,150.184463,0000-00-00 00:00:00,0000-00-00 00:00:00
130,North Batemans Bay,Princes Highway,AM PEAK,2046,-35.699673,150.184463,0000-00-00 00:00:00,0000-00-00 00:00:00
131,North Batemans Bay,Princes Highway,OFF PEAK,4375,-35.699673,150.184463,0000-00-00 00:00:00,0000-00-00 00:00:00
132,North Batemans Bay,Princes Highway,PM PEAK,2479,-35.699673,150.184463,0000-00-00 00:00:00,0000-00-00 00:00:00
133,Bodalla,Princes Highway,ALL DAYS,5191,-36.105434,150.056808,0000-00-00 00:00:00,0000-00-00 00:00:00
134,Bodalla,Princes Highway,AM PEAK,1174,-36.105434,150.056808,0000-00-00 00:00:00,0000-00-00 00:00:00
135,Bodalla,Princes Highway,OFF PEAK,2756,-36.105434,150.056808,0000-00-00 00:00:00,0000-00-00 00:00:00
136,Bodalla,Princes Highway,PM PEAK,1423,-36.105434,150.056808,0000-00-00 00:00:00,0000-00-00 00:00:00
137,Pine Valley,Snowy Mountains Highway,ALL DAYS,3590,-36.241871,149.064804,0000-00-00 00:00:00,0000-00-00 00:00:00
138,Pine Valley,Snowy Mountains Highway,AM PEAK,895,-36.241871,149.064804,0000-00-00 00:00:00,0000-00-00 00:00:00
139,Pine Valley,Snowy Mountains Highway,OFF PEAK,1713,-36.241871,149.064804,0000-00-00 00:00:00,0000-00-00 00:00:00
140,Pine Valley,Snowy Mountains Highway,PM PEAK,1109,-36.241871,149.064804,0000-00-00 00:00:00,0000-00-00 00:00:00
141,Bunyan,Monaro Highway,ALL DAYS,4343,-36.155613,149.151504,0000-00-00 00:00:00,0000-00-00 00:00:00
142,Bunyan,Monaro Highway,AM PEAK,920,-36.155613,149.151504,0000-00-00 00:00:00,0000-00-00 00:00:00
143,Bunyan,Monaro Highway,OFF PEAK,2104,-36.155613,149.151504,0000-00-00 00:00:00,0000-00-00 00:00:00
144,Bunyan,Monaro Highway,PM PEAK,1258,-36.155613,149.151504,0000-00-00 00:00:00,0000-00-00 00:00:00
145,Bombala,Monaro Highway,ALL DAYS,1134,-36.893013,149.239685,0000-00-00 00:00:00,0000-00-00 00:00:00
146,Bombala,Monaro Highway,AM PEAK,263,-36.893013,149.239685,0000-00-00 00:00:00,0000-00-00 00:00:00
147,Bombala,Monaro Highway,OFF PEAK,604,-36.893013,149.239685,0000-00-00 00:00:00,0000-00-00 00:00:00
148,Bombala,Monaro Highway,PM PEAK,334,-36.893013,149.239685,0000-00-00 00:00:00,0000-00-00 00:00:00
149,Canley Heights,Cambridge Street,ALL DAYS,41189,-33.878181,150.924942,0000-00-00 00:00:00,0000-00-00 00:00:00
150,Canley Heights,Cambridge Street,AM PEAK,9964,-33.878181,150.924942,0000-00-00 00:00:00,0000-00-00 00:00:00
151,Canley Heights,Cambridge Street,OFF PEAK,21931,-33.878181,150.924942,0000-00-00 00:00:00,0000-00-00 00:00:00
152,Canley Heights,Cambridge Street,PM PEAK,11218,-33.878181,150.924942,0000-00-00 00:00:00,0000-00-00 00:00:00
153,Clifton,Lawrence Hargrave Drive,ALL DAYS,4888,-34.259789,150.969467,0000-00-00 00:00:00,0000-00-00 00:00:00
154,Clifton,Lawrence Hargrave Drive,AM PEAK,947,-34.259789,150.969467,0000-00-00 00:00:00,0000-00-00 00:00:00
155,Clifton,Lawrence Hargrave Drive,OFF PEAK,2328,-34.259789,150.969467,0000-00-00 00:00:00,0000-00-00 00:00:00
156,Clifton,Lawrence Hargrave Drive,PM PEAK,1131,-34.259789,150.969467,0000-00-00 00:00:00,0000-00-00 00:00:00
157,Pagewood,Wentworth Avenue,ALL DAYS,49670,-33.936672,151.209625,0000-00-00 00:00:00,0000-00-00 00:00:00
158,Pagewood,Wentworth Avenue,AM PEAK,12668,-33.936672,151.209625,0000-00-00 00:00:00,0000-00-00 00:00:00
159,Pagewood,Wentworth Avenue,OFF PEAK,25116,-33.936672,151.209625,0000-00-00 00:00:00,0000-00-00 00:00:00
160,Pagewood,Wentworth Avenue,PM PEAK,14391,-33.936672,151.209625,0000-00-00 00:00:00,0000-00-00 00:00:00
161,St Peters,Canal Road,ALL DAYS,31683,-33.919224,151.177978,0000-00-00 00:00:00,0000-00-00 00:00:00
162,St Peters,Canal Road,AM PEAK,8089,-33.919224,151.177978,0000-00-00 00:00:00,0000-00-00 00:00:00
163,St Peters,Canal Road,OFF PEAK,17595,-33.919224,151.177978,0000-00-00 00:00:00,0000-00-00 00:00:00
164,St Peters,Canal Road,PM PEAK,7372,-33.919224,151.177978,0000-00-00 00:00:00,0000-00-00 00:00:00
165,Lilyfield,City West Link Road,ALL DAYS,66255,-33.871185,151.172668,0000-00-00 00:00:00,0000-00-00 00:00:00
166,Lilyfield,City West Link Road,AM PEAK,14058,-33.871185,151.172668,0000-00-00 00:00:00,0000-00-00 00:00:00
167,Lilyfield,City West Link Road,OFF PEAK,36531,-33.871185,151.172668,0000-00-00 00:00:00,0000-00-00 00:00:00
168,Lilyfield,City West Link Road,PM PEAK,15533,-33.871185,151.172668,0000-00-00 00:00:00,0000-00-00 00:00:00
169,Cammeray,Strathallen Avenue,ALL DAYS,23632,-33.817001,151.212357,0000-00-00 00:00:00,0000-00-00 00:00:00
170,Cammeray,Strathallen Avenue,AM PEAK,6706,-33.817001,151.212357,0000-00-00 00:00:00,0000-00-00 00:00:00
171,Cammeray,Strathallen Avenue,OFF PEAK,10890,-33.817001,151.212357,0000-00-00 00:00:00,0000-00-00 00:00:00
172,Cammeray,Strathallen Avenue,PM PEAK,7168,-33.817001,151.212357,0000-00-00 00:00:00,0000-00-00 00:00:00
173,Mosman,Ourimbah Road,ALL DAYS,23871,-33.822067,151.238358,0000-00-00 00:00:00,0000-00-00 00:00:00
174,Mosman,Ourimbah Road,AM PEAK,6972,-33.822067,151.238358,0000-00-00 00:00:00,0000-00-00 00:00:00
175,Mosman,Ourimbah Road,OFF PEAK,10480,-33.822067,151.238358,0000-00-00 00:00:00,0000-00-00 00:00:00
176,Mosman,Ourimbah Road,PM PEAK,7183,-33.822067,151.238358,0000-00-00 00:00:00,0000-00-00 00:00:00
177,Brighton-Le-Sands,General Holmes Drive,ALL DAYS,64993,-33.95490646,151.1586761,0000-00-00 00:00:00,0000-00-00 00:00:00
178,Brighton-Le-Sands,General Holmes Drive,AM PEAK,16027,-33.95490646,151.1586761,0000-00-00 00:00:00,0000-00-00 00:00:00
179,Brighton-Le-Sands,General Holmes Drive,OFF PEAK,32460,-33.95490646,151.1586761,0000-00-00 00:00:00,0000-00-00 00:00:00
180,Brighton-Le-Sands,General Holmes Drive,PM PEAK,18842,-33.95490646,151.1586761,0000-00-00 00:00:00,0000-00-00 00:00:00
181,Arncliffe,Marsh Street,ALL DAYS,57089,-33.934475,151.15831,0000-00-00 00:00:00,0000-00-00 00:00:00
182,Arncliffe,Marsh Street,AM PEAK,15516,-33.934475,151.15831,0000-00-00 00:00:00,0000-00-00 00:00:00
183,Arncliffe,Marsh Street,OFF PEAK,31026,-33.934475,151.15831,0000-00-00 00:00:00,0000-00-00 00:00:00
184,Arncliffe,Marsh Street,PM PEAK,12771,-33.934475,151.15831,0000-00-00 00:00:00,0000-00-00 00:00:00
185,Wiley Park,King Georges Road,ALL DAYS,66643,-33.922554,151.068237,0000-00-00 00:00:00,0000-00-00 00:00:00
186,Wiley Park,King Georges Road,AM PEAK,9819,-33.922554,151.068237,0000-00-00 00:00:00,0000-00-00 00:00:00
187,Wiley Park,King Georges Road,OFF PEAK,39343,-33.922554,151.068237,0000-00-00 00:00:00,0000-00-00 00:00:00
188,Wiley Park,King Georges Road,PM PEAK,15712,-33.922554,151.068237,0000-00-00 00:00:00,0000-00-00 00:00:00
189,Roselands,Canterbury Road,ALL DAYS,41024,-33.928268,151.077286,0000-00-00 00:00:00,0000-00-00 00:00:00
190,Roselands,Canterbury Road,AM PEAK,9699,-33.928268,151.077286,0000-00-00 00:00:00,0000-00-00 00:00:00
191,Roselands,Canterbury Road,OFF PEAK,22089,-33.928268,151.077286,0000-00-00 00:00:00,0000-00-00 00:00:00
192,Roselands,Canterbury Road,PM PEAK,10348,-33.928268,151.077286,0000-00-00 00:00:00,0000-00-00 00:00:00
193,Roselands,King Georges Road,ALL DAYS,74384,-33.934917,151.0737,0000-00-00 00:00:00,0000-00-00 00:00:00
194,Roselands,King Georges Road,AM PEAK,16342,-33.934917,151.0737,0000-00-00 00:00:00,0000-00-00 00:00:00
195,Roselands,King Georges Road,OFF PEAK,40854,-33.934917,151.0737,0000-00-00 00:00:00,0000-00-00 00:00:00
196,Roselands,King Georges Road,PM PEAK,17792,-33.934917,151.0737,0000-00-00 00:00:00,0000-00-00 00:00:00
197,Kingsgrove,Bexley Road,ALL DAYS,34263,-33.935444,151.111282,0000-00-00 00:00:00,0000-00-00 00:00:00
198,Kingsgrove,Bexley Road,AM PEAK,8470,-33.935444,151.111282,0000-00-00 00:00:00,0000-00-00 00:00:00
199,Kingsgrove,Bexley Road,OFF PEAK,16560,-33.935444,151.111282,0000-00-00 00:00:00,0000-00-00 00:00:00
200,Kingsgrove,Bexley Road,PM PEAK,10154,-33.935444,151.111282,0000-00-00 00:00:00,0000-00-00 00:00:00
201,Summer Hill,Liverpool Road,ALL DAYS,23684,-33.889008,151.133102,0000-00-00 00:00:00,0000-00-00 00:00:00
202,Summer Hill,Liverpool Road,AM PEAK,5859,-33.889008,151.133102,0000-00-00 00:00:00,0000-00-00 00:00:00
203,Summer Hill,Liverpool Road,OFF PEAK,11645,-33.889008,151.133102,0000-00-00 00:00:00,0000-00-00 00:00:00
204,Summer Hill,Liverpool Road,PM PEAK,7014,-33.889008,151.133102,0000-00-00 00:00:00,0000-00-00 00:00:00
205,Homebush West,Centenary Drive,ALL DAYS,95423,-33.86327,151.066605,0000-00-00 00:00:00,0000-00-00 00:00:00
206,Homebush West,Centenary Drive,AM PEAK,22775,-33.86327,151.066605,0000-00-00 00:00:00,0000-00-00 00:00:00
207,Homebush West,Centenary Drive,OFF PEAK,52959,-33.86327,151.066605,0000-00-00 00:00:00,0000-00-00 00:00:00
208,Homebush West,Centenary Drive,PM PEAK,21452,-33.86327,151.066605,0000-00-00 00:00:00,0000-00-00 00:00:00
209,Strathfield South,Liverpool Road,ALL DAYS,53342,-33.887241,151.073135,0000-00-00 00:00:00,0000-00-00 00:00:00
210,Strathfield South,Liverpool Road,AM PEAK,13615,-33.887241,151.073135,0000-00-00 00:00:00,0000-00-00 00:00:00
211,Strathfield South,Liverpool Road,OFF PEAK,27016,-33.887241,151.073135,0000-00-00 00:00:00,0000-00-00 00:00:00
212,Strathfield South,Liverpool Road,PM PEAK,15236,-33.887241,151.073135,0000-00-00 00:00:00,0000-00-00 00:00:00
213,Rhodes,Concord Road,ALL DAYS,93615,-33.824696,151.093216,0000-00-00 00:00:00,0000-00-00 00:00:00
214,Rhodes,Concord Road,AM PEAK,22525,-33.824696,151.093216,0000-00-00 00:00:00,0000-00-00 00:00:00
215,Rhodes,Concord Road,OFF PEAK,48759,-33.824696,151.093216,0000-00-00 00:00:00,0000-00-00 00:00:00
