station_id,suburb,road_name,period,traffic_count,wgs84_latitude,wgs84_longitude
258,Padstow Heights,Alfords Point Road,AM PEAK,10824,-33.977142,151.030533
259,Padstow Heights,Alfords Point Road,OFF PEAK,19584,-33.977142,151.030533
260,Padstow Heights,Alfords Point Road,PM PEAK,6478,-33.977142,151.030533
261,Padstow,Henry Lawson Drive,ALL DAYS,38488,-33.963131,151.04187
262,Padstow,Henry Lawson Drive,AM PEAK,11402,-33.963131,151.04187
263,Padstow,Henry Lawson Drive,OFF PEAK,15541,-33.963131,151.04187
264,Padstow,Henry Lawson Drive,PM PEAK,13313,-33.963131,151.04187
265,Regents Park,Joseph Street,ALL DAYS,61424,-33.88764954,151.0394897
266,Regents Park,Joseph Street,AM PEAK,17299,-33.88764954,151.0394897
267,Regents Park,Joseph Street,OFF PEAK,30526,-33.88764954,151.0394897
268,Regents Park,Joseph Street,PM PEAK,18410,-33.88764954,151.0394897
269,Bankstown,Fairford Road,ALL DAYS,54706,-33.926025,151.038132
270,Bankstown,Fairford Road,AM PEAK,13264,-33.926025,151.038132
271,Bankstown,Fairford Road,OFF PEAK,29089,-33.926025,151.038132
272,Bankstown,Fairford Road,PM PEAK,16391,-33.926025,151.038132
273,Greenacre,Hume Highway,ALL DAYS,54099,-33.90515137,151.0413513
274,Greenacre,Hume Highway,AM PEAK,12820,-33.90515137,151.0413513
275,Greenacre,Hume Highway,OFF PEAK,29878,-33.90515137,151.0413513
276,Greenacre,Hume Highway,PM PEAK,12900,-33.90515137,151.0413513
277,Padstow,Davies Road,ALL DAYS,40536,-33.961929,151.037201
278,Padstow,Davies Road,AM PEAK,11635,-33.961929,151.037201
279,Padstow,Davies Road,OFF PEAK,18656,-33.961929,151.037201
280,Padstow,Davies Road,PM PEAK,12068,-33.961929,151.037201
281,Villawood,Hume Highway,ALL DAYS,50143,-33.88992691,150.973999
282,Villawood,Hume Highway,AM PEAK,12300,-33.88992691,150.973999
283,Villawood,Hume Highway,OFF PEAK,25774,-33.88992691,150.973999
284,Villawood,Hume Highway,PM PEAK,13960,-33.88992691,150.973999
285,Lansvale,Hume Highway,ALL DAYS,62666,-33.89113235,150.9658966
286,Lansvale,Hume Highway,AM PEAK,15091,-33.89113235,150.9658966
287,Lansvale,Hume Highway,OFF PEAK,32264,-33.89113235,150.9658966
288,Lansvale,Hume Highway,PM PEAK,17528,-33.89113235,150.9658966
289,Auburn,Parramatta Road,ALL DAYS,32280,-33.83889,151.029022
290,Auburn,Parramatta Road,AM PEAK,6409,-33.83889,151.029022
291,Auburn,Parramatta Road,OFF PEAK,18869,-33.83889,151.029022
292,Auburn,Parramatta Road,PM PEAK,8124,-33.83889,151.029022
293,Rydalmere,Silverwater Road,ALL DAYS,64247,-33.823917,151.051331
294,Rydalmere,Silverwater Road,AM PEAK,18909,-33.823917,151.051331
295,Rydalmere,Silverwater Road,OFF PEAK,29954,-33.823917,151.051331
296,Rydalmere,Silverwater Road,PM PEAK,19966,-33.823917,151.051331
297,Parramatta,Victoria Road,ALL DAYS,57243,-33.809143,151.025696
298,Parramatta,Victoria Road,AM PEAK,16754,-33.809143,151.025696
299,Parramatta,Victoria Road,OFF PEAK,29285,-33.809143,151.025696
300,Parramatta,Victoria Road,PM PEAK,17654,-33.809143,151.025696
301,Carlingford,Marsden Road,ALL DAYS,27301,-33.78928,151.062759
302,Carlingford,Marsden Road,AM PEAK,7081,-33.78928,151.062759
303,Carlingford,Marsden Road,OFF PEAK,13685,-33.78928,151.062759
304,Carlingford,Marsden Road,PM PEAK,7118,-33.78928,151.062759
305,Ermington,Silverwater Road,ALL DAYS,29395,-33.807297,151.053345
306,Ermington,Silverwater Road,AM PEAK,6617,-33.807297,151.053345
307,Ermington,Silverwater Road,OFF PEAK,11903,-33.807297,151.053345
308,Ermington,Silverwater Road,PM PEAK,9816,-33.807297,151.053345
309,North Parramatta,Church Street,ALL DAYS,31580,-33.794579,151.000626
310,North Parramatta,Church Street,AM PEAK,8114,-33.794579,151.000626
311,North Parramatta,Church Street,OFF PEAK,16075,-33.794579,151.000626
312,North Parramatta,Church Street,PM PEAK,9294,-33.794579,151.000626
313,Ryde,Victoria Road,ALL DAYS,58366,-33.81551,151.101105
314,Ryde,Victoria Road,AM PEAK,15902,-33.81551,151.101105
315,Ryde,Victoria Road,OFF PEAK,29701,-33.81551,151.101105
316,Ryde,Victoria Road,PM PEAK,15997,-33.81551,151.101105
317,North Ryde,Epping Road,ALL DAYS,50779,-33.798531,151.138992
318,North Ryde,Epping Road,AM PEAK,13048,-33.798531,151.138992
319,North Ryde,Epping Road,OFF PEAK,25138,-33.798531,151.138992
